Ticker,Date,Price,sell_price,sell_date,closest_above,Earnings Offset Closest,average_duration,total_days_below_threshold,63d %,daily delta,Pwin,date_number_buy,date_number_sell
TREX,2022-01-14,106.95,,,-10,-29.0,15.0,47.0,-0.2397640034119988,-0.0341370902194527,92.1875,2025,
IDXX,2022-01-14,529.35,556.67,2023-07-25,-52,-12.0,14.0,14.0,-0.2057526107310047,-0.0090789966304755,100.0,2025,2406.0
BIO,2022-01-18,599.8,637.21,2022-02-09,-11,-17.0,1.0,5.0,-0.2452307847183772,-0.0452541266733522,90.9091,2026,2042.0
SSTK,2022-01-18,92.83,97.66,2022-03-29,-39,-17.0,10.0,43.0,-0.2633708935089668,-0.0069533590072743,90.9774,2026,2075.0
TROW,2022-01-18,170.76,,,-42,-7.0,14.0,56.0,-0.2283428984590356,-0.0240612676458822,86.3636,2026,
WST,2022-01-18,372.16,393.03,2022-01-28,-11,-22.0,1.0,2.0,-0.210421351890355,-0.0200642477223654,100.0,2026,2034.0
CCJ,2022-01-18,21.58,22.78,2022-02-09,-43,-16.0,7.0,93.0,-0.2317550729797081,-0.0430155210643016,82.6923,2026,2042.0
TECH,2022-01-18,94.75,100.3925,2022-02-01,-10,-10.0,4.0,14.0,-0.2781777320687159,-0.0284791469072825,84.2105,2026,2036.0
NYT,2022-01-18,41.68,43.78,2022-02-25,-52,-11.0,5.0,58.0,-0.2530465949820788,-0.0315985130111523,93.75,2026,2053.0
DECK,2022-01-18,322.79,341.65,2022-08-16,-27,-12.0,19.0,76.0,-0.2635409536846907,-0.0031807794453707,83.5821,2026,2171.0
IDXX,2022-01-18,518.17,552.46,2022-03-22,-11,-11.0,7.0,15.0,-0.222527307646141,-0.0211202418059885,96.1538,2026,2070.0
TTEK,2022-01-18,144.13,152.85,2022-02-08,-27,-11.0,9.0,63.0,-0.2429351822670449,-0.0249627925855769,91.3043,2026,2041.0
HLIO,2022-01-18,85.42,,,-36,-28.0,9.0,76.0,-0.2518829917673848,-0.0293181818181818,84.3373,2026,
FIVE,2022-01-18,171.18,180.92,2022-04-13,-38,32.0,19.0,116.0,-0.2174986286341195,-0.0122901159771507,97.2973,2026,2086.0
MASI,2022-01-18,223.65,,,-9,-20.0,3.0,19.0,-0.2625869629727324,-0.0404582117727818,83.3333,2026,
ATRC,2022-01-18,64.23,68.5,2022-02-09,-47,-20.0,7.0,77.0,-0.2629102593527656,-0.0184902200488996,87.0,2026,2042.0
DSGX,2022-01-18,68.96,72.77,2022-01-31,-38,-30.0,17.0,34.0,-0.2379268427450547,-0.0201761864165956,88.8889,2026,2035.0
MSCI,2022-01-18,516.69,545.4,2022-02-01,-27,-7.0,3.0,12.0,-0.2347033992446122,-0.0190796218248091,88.8889,2026,2036.0
TFII,2022-01-18,95.1,99.95,2022-01-20,-55,-14.0,0.0,0.0,-0.2086869695456815,-0.0151201325600663,100.0,2026,2028.0
DXCM,2022-01-18,107.4675,113.6825,2022-03-17,-12,-17.0,9.0,55.0,-0.3399410373737063,-0.0390530692538113,92.0,2026,2067.0
BX,2022-01-18,113.92,124.28,2022-01-28,-34,-7.0,12.0,63.0,-0.2348199892530896,-0.0189459180158456,86.0465,2026,2034.0
ALB,2022-01-18,226.3,241.39,2022-02-15,-38,-21.0,14.0,100.0,-0.2026074700493305,-0.0315402062738048,97.1014,2026,2046.0
ADSK,2022-01-18,252.03,266.68,2024-02-09,-39,-26.0,9.0,58.0,-0.244604963433641,-0.0272867618680047,84.375,2026,2544.0
VEEV,2022-01-18,218.27,236.54,2022-01-31,-33,-30.0,4.0,29.0,-0.3289162182936203,-0.0249274067455884,91.8919,2026,2035.0
INTU,2022-01-18,537.82,579.4,2022-02-09,-25,-26.0,7.0,23.0,-0.225779518037601,-0.0235479946985237,84.6154,2026,2042.0
MANH,2022-01-18,131.7,140.51,2022-03-18,-38,-10.0,12.0,72.0,-0.2884542654924632,-0.0331106379854637,88.8889,2026,2068.0
ASML,2022-01-19,698.82,735.93,2023-05-26,-41,0.0,4.0,12.0,-0.205091455091455,-0.0229436684702822,95.4545,2027,2367.0
