date_nr,Portfolio Value,Cash Value,HBAN Position 1 Value,MORN Position 1 Value,MTX Position 1 Value,NPO Position 1 Value,NSC Position 1 Value,NTRS Position 1 Value,RLJ Position 1 Value,ASB Position 1 Value,BOX Position 1 Value,VAC Position 1 Value,CFR Position 1 Value,FBP Position 1 Value,FBP Position 2 Value,PINC Position 1 Value,TGNA Position 1 Value,LBTYA Position 1 Value,WNS Position 1 Value,WNS Position 2 Value,WNS Position 3 Value,VLY Position 1 Value,AGYS Position 1 Value,FHN Position 1 Value,SUPN Position 1 Value,CHDN Position 1 Value,EXLS Position 1 Value,CWEN Position 1 Value,IRDM Position 1 Value,MTZ Position 1 Value,NEP Position 1 Value,NEP Position 2 Value,VGR Position 1 Value,CPB Position 1 Value,AES Position 1 Value,BIP Position 1 Value,ROIC Position 1 Value,NOK Position 1 Value,OLN Position 1 Value,OLN Position 2 Value,HI Position 1 Value,APPF Position 1 Value,FLEX Position 1 Value,FLEX Position 2 Value,ERF Position 1 Value,ERF Position 2 Value,FLEX Position 3 Value,HUM Position 1 Value,HAE Position 1 Value,AGI Position 1 Value,Scaled ^GSPC,Investment Value
2430,9976.149769000003,0.6600000000017712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647.59994,0.0,0.0,0.0,0.0,0.0,0.0,1665.5599479999998,1665.5599479999998,1729.6199459999998,0.0,0.0,0.0,0.0,0.0,86.429997,553.74,1929.1999999999998,395.119996,48.619999,243.099995,10.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10930.27860012051,10184.597605686069
2431,10144.760053000002,0.6600000000017712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1675.499955,0.0,0.0,0.0,0.0,0.0,0.0,1699.3600259999998,1699.3600259999998,1764.7200269999998,0.0,0.0,0.0,0.0,0.0,87.330003,559.680022,1940.0,403.0,50.689999,253.449995,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11088.858439219173,10184.597605686069
2432,10192.889792000004,254.10999500000176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1662.59994,0.0,0.0,0.0,0.0,0.0,0.0,1722.239948,1722.239948,1788.479946,0.0,0.0,0.0,0.0,0.0,87.149997,552.8599780000001,1944.40004,397.72,50.0,0.0,11.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11131.364052010395,10184.597605686069
2433,10096.2899,254.10999500000176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1630.35003,0.0,0.0,0.0,0.0,0.0,0.0,1699.099948,1699.099948,1764.449946,0.0,0.0,0.0,0.0,0.0,87.69,544.9399999999999,1958.00004,397.959992,49.880001,0.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11113.587970171493,10184.597605686069
2434,10182.029818000003,0.6600000000017712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.950045,0.0,0.0,0.0,0.0,0.0,0.0,1713.9199480000002,1713.9199480000002,1779.8399460000003,0.0,0.0,0.0,0.0,0.0,87.899997,540.319978,1981.19996,397.880004,49.099998,0.0,11.0,245.33999400000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11133.582753245404,10231.277011378797
2435,10096.560175999999,0.6600000000017712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.04997,0.0,0.0,0.0,0.0,0.0,0.0,1722.760052,1722.760052,1789.020054,0.0,0.0,0.0,0.0,0.0,87.659997,533.28,1951.6000399999998,382.440004,48.380001,0.0,10.63,247.32000600000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11086.88652853406,10231.277011378797
2436,9969.640042000003,0.6600000000017712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1608.450045,0.0,0.0,0.0,0.0,0.0,0.0,1684.279974,1684.279974,1749.0599730000001,0.0,0.0,0.0,0.0,0.0,87.38999700000001,525.8,1949.60008,375.480012,47.549999,0.0,10.49,246.599988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11009.59319675244,10231.277011378797
2437,9927.469905000004,0.6600000000017712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1553.99997,0.0,0.0,0.0,0.0,0.0,0.0,1703.0,1703.0,1768.5,0.0,0.0,0.0,0.0,0.0,88.080003,524.7,1906.79992,369.920012,47.52,0.0,10.37,250.92000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10974.23846699385,10231.277011378797
2438,9971.509747000004,0.6600000000017712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1552.65003,0.0,0.0,0.0,0.0,0.0,0.0,1716.5199220000002,1716.5199220000002,1782.539919,0.0,0.0,0.0,0.0,0.0,88.19999999999999,531.3,1904.79996,366.959992,47.990002,0.0,10.29,253.07999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10989.894563324598,10231.277011378797
2439,9888.689680000001,0.6600000000017712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1532.099985,0.0,0.0,0.0,0.0,0.0,0.0,1695.1999219999998,1695.1999219999998,1760.399919,0.0,0.0,0.0,0.0,0.0,87.929997,533.72,1906.79992,361.320008,48.720001,0.0,10.32,256.32000600000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11063.784605148889,10231.277011378797
