Ticker,m20tmrw,Close,63d %,daily delta,previous daily delta,63d peak,chance,Earnings Offset Closest,Overall Record,average_duration,total_days_below_threshold
APO,91.62400000000001,113.89,-0.0055880555313018,0.0041438899664962,0.0074613608100906,114.53,0,32,56 - 0 (100.00%),6.0,85.0
ARCB,116.984,136.19,-0.0686589619093208,0.0025027603974971,-0.008683596030356,146.23,0,-22,104 - 25 (80.62%),53.0,645.0
AQN,5.32,6.02,-0.0947368421052632,-0.0049586776859504,-0.011437908496732,6.65,0,12,39 - 6 (86.67%),69.0,139.0
ARES,109.64800000000001,133.96,-0.0226178316065955,0.0012706480304955,-0.0005975946814074,137.06,0,-22,37 - 6 (86.05%),7.0,75.0
ARLP,17.744,19.97,-0.099639314697926,0.0075681130171543,0.0055809233891426,22.18,0,-29,77 - 19 (80.21%),2.0,9.0
APTV,72.376,76.59,-0.1534210235437161,-0.0316095587305601,0.0047002032520326,90.47,0,-26,71 - 16 (81.61%),76.0,760.0
ARE,103.80000000000001,124.19,-0.0428516377649326,-0.0180279908278643,0.00748824982076,129.75,0,-18,35 - 11 (76.09%),26.0,215.0
AR,21.968000000000004,27.32,-0.0050983248361252,-0.0050983248361252,0.0174138569840682,27.46,0,-20,148 - 49 (75.13%),23.0,323.0
ASB,17.6,20.52,-0.0672727272727272,-0.0048496605237634,0.0024307243558581,22.0,0,-16,63 - 9 (87.50%),8.0,48.0
ARMK,26.12,31.08,-0.0480857580398162,0.0100747481312966,-0.0061369509043928,32.65,0,34,69 - 3 (95.83%),18.0,94.0
ARW,100.87200000000001,126.09,0.0052618990672088,0.0052618990672088,0.026432078559738,126.09,0,-26,41 - 1 (97.62%),14.0,57.0
ARWR,31.584,27.84,-0.2948328267477202,-0.0017927572606669,0.0249908122013964,39.48,0,-29,188 - 42 (81.74%),46.0,1029.0
ASGN,83.552,100.62,-0.0365760245116812,-0.0010920281941824,-0.0033640051449489,104.44,0,-20,56 - 8 (87.50%),14.0,70.0
ATI,40.800000000000004,50.21,-0.0154901960784313,0.0052052052052051,0.0080726538849646,51.0,0,-26,101 - 23 (81.45%),11.0,45.0
ASML,837.9120000000001,971.3,-0.0726472469662686,-0.0077942243061301,-0.0010510633087065,1047.39,0,-15,58 - 4 (93.55%),12.0,145.0
ASND,127.52000000000001,149.96,-0.0592220828105395,0.0380728229267617,-0.0038615363398152,159.4,0,-21,79 - 11 (87.78%),22.0,135.0
ASX,9.328000000000001,10.98,-0.0583190394511149,-0.0125899280575538,-0.0097951914514693,11.66,0,-21,58 - 7 (89.23%),9.0,67.0
ATR,115.72000000000001,143.2,-0.0100241963359835,0.0016787912702853,0.0096758245638817,144.65,0,-21,3 - 0 (100.00%),0.0,0.0
ASH,77.808,95.26,-0.0205634382068682,-0.0047017030613309,0.0047239134998948,97.26,0,-29,13 - 0 (100.00%),0.0,0.0
ATHM,22.448,25.72,-0.0833927298645759,-0.0119093353822513,0.0023103581055063,28.06,0,-31,128 - 46 (73.56%),10.0,100.0
ATO,95.08,115.25,-0.0302902818679006,-0.0073212747631351,-0.0040319121557862,118.85,0,-25,6 - 0 (100.00%),0.0,0.0
ATRC,30.224000000000004,29.09,-0.23001588141874,0.031194611839773,-0.009132420091324,37.78,0,27,100 - 23 (81.30%),16.0,280.0
ASR,253.072,315.01,-0.0042043371056458,0.0167516622555032,-9.682104244002064e-05,316.34,0,-18,47 - 2 (95.92%),14.0,44.0
AVGO,1125.608,1331.49,-0.0536741032402043,-0.0148640849968184,-0.0013964107072931,1407.01,0,13,27 - 0 (100.00%),9.0,39.0
AVAL,2.128,2.23,-0.1616541353383459,-0.0088888888888889,0.0,2.66,0,16,55 - 27 (67.07%),43.0,260.0
ATSG,14.144,13.21,-0.2528280542986425,0.0053272450532724,0.0092165898617513,17.68,0,21,66 - 22 (75.00%),24.0,193.0
AVT,40.712,48.4,-0.0489290626842209,-0.001031991744066,0.0138104205900817,50.89,0,-25,32 - 5 (86.49%),14.0,29.0
AUB,30.104000000000003,34.05,-0.0951368588891843,-0.0173160173160173,-0.0023034840195795,37.63,0,-19,49 - 4 (92.45%),13.0,53.0
AU,18.296000000000003,21.39,-0.064713598600787,0.0023430178069354,0.0123339658444023,22.87,0,22,150 - 56 (72.82%),19.0,255.0
